sessieID;naam;datum;beginUur;eindUur;spreker;korteInhoud;evenement_evenementID
000001;Introductie tot Python;2024-04-15;10:00;12:00;John Doe;Leer de basisprincipes van Python programmeren.;000001
000002;Geavanceerde Python Technieken;2024-04-15;13:00;15:00;Jane Smith;Ontdek geavanceerde concepten en toepassingen in Python.;000001
000003;HTML5 en CSS3 Fundamentals;2024-05-10;10:00;12:00;Chris Johnson;Leer de basis van HTML5 en CSS3 voor webontwikkeling.;000002
000004;Responsieve Web Design;2024-05-10;13:00;15:00;Emily Brown;Ontdek hoe je responsieve websites kunt ontwerpen met HTML en CSS.;000002
000005;Introductie tot Data Science;2024-06-20;13:00;15:00;Michael Williams;Een inleiding tot data science en zijn toepassingen in verschillende domeinen.;000003
000006;Machine Learning Fundamentals;2024-06-20;15:30;17:30;Sarah Garcia;Leer de basis van machine learning en algoritmen.;000003
000007;Cybersecurity Trends en Bedreigingen;2024-07-05;11:00;13:00;David Clark;Een overzicht van de nieuwste trends en bedreigingen op het gebied van cybersecurity.;000004
000008;Best Practices voor Veilige Softwareontwikkeling;2024-07-05;14:00;16:00;Laura Miller;Ontdek de beste praktijken voor het ontwikkelen van veilige software.;000004
000009;Cloud Computing Infrastructuur;2024-08-25;11:00;13:00;Kevin Lee;Een introductie tot cloud computing en zijn infrastructuur.;000005
000010;Serverless Architecturen;2024-08-25;14:00;16:00;Sophia Rodriguez;Leer hoe je serverless architecturen kunt ontwerpen en implementeren.;000005
000011;Machine Learning in de Praktijk;2024-09-14;10:00;12:00;Alex Turner;Ontdek praktische toepassingen van machine learning in verschillende industrieën.;000006
000012;Deep Learning Algoritmen;2024-09-14;13:00;15:00;Jessica Martinez;Een diepgaande duik in deep learning algoritmen en technieken.;000006
000013;Agile Methodologieën;2024-10-08;10:00;12:00;Ryan Adams;Leer hoe je Agile methodologieën kunt implementeren in softwareontwikkelingsprojecten.;000007
000014;Scrum Framework;2024-10-08;13:00;15:00;Emma Wilson;Een introductie tot het Scrum framework en zijn principes.;000007
000015;Blockchain Technologieën Explained;2024-11-18;10:00;12:00;Daniel Thompson;Een overzicht van blockchain technologieën en hun toepassingen buiten cryptocurrencies.;000008
000016;Smart Contracts Development;2024-11-18;13:00;15:00;Olivia Moore;Leer hoe je slimme contracten kunt ontwikkelen en implementeren op blockchain platforms.;000008
000017;DevOps Cultuur en Praktijken;2024-12-09;10:00;12:00;Michael Johnson;Ontdek hoe DevOps cultuur en praktijken kunnen worden toegepast voor efficiëntere softwareontwikkeling.;000009
000018;Continuous Integration en Continuous Deployment;2024-12-09;13:00;15:00;Sophie Anderson;Leer hoe je continuous integration en continuous deployment kunt implementeren in softwareontwikkelingspipelines.;000009
000019;Introductie tot Cryptografie;2025-01-30;10:00;12:00;Lucas Garcia;Een inleiding tot cryptografische concepten en principes.;000010
